matrix_type,n,sparsity,symmetry,condition_number,diagonal_dominance,size,fro_norm,eig_spread,best_method,jacobi_success,jacobi_iterations,jacobi_time,jacobi_relative_error,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_relative_error,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_relative_error
generate_sparse_matrix,14,0.7448979591836735,1.0,2.9148588014222634,4.925888425926122,14,39.25969007586886,21.061751055241785,jacobi,True,13,0.004411220550537109,9.920022969941402e-07,True,8,0.06412672996520996,2.768715151561516e-07,True,14,0.00801229476928711,2.7088114482485915e-14
generate_sparse_matrix,15,0.7022222222222223,1.0,2.8970524871258476,5.900004865763387,15,45.93207908547492,18.230257730311116,gradiente_conjugado,True,14,0.006033897399902344,8.751387001420615e-07,True,8,0.06605291366577148,6.597545186029024e-07,True,12,0.00603175163269043,4.396969830208496e-07
generate_tridiagonal,12,0.7638888888888888,1.0,1.5563025007672873,2.1666666666666665,12,14.628738838327793,3.8837672697042036,jacobi,True,19,0.004891633987426758,5.847893922910982e-07,True,10,0.062380075454711914,7.465915324210122e-07,True,10,0.010348320007324219,5.403587424892033e-07
generate_tridiagonal,11,0.743801652892562,1.0,1.5563025007672873,2.1818181818181817,11,14.0,3.8637033051562786,gradiente_conjugado,True,19,0.010942935943603516,5.322435639112853e-07,True,12,0.06941866874694824,7.670185722413393e-07,True,10,0.002998828887939453,4.2513378075606356e-07
generate_tridiagonal,15,0.8088888888888889,1.0,1.5563025007672873,2.1333333333333333,15,16.3707055437449,3.9231411216129173,gradiente_conjugado,True,19,0.007662296295166016,7.181982333616152e-07,True,13,0.11095046997070312,3.349088029473732e-07,True,10,0.0038292407989501953,8.648822147999495e-07
generate_tridiagonal,11,0.743801652892562,1.0,1.5563025007672873,2.1818181818181817,11,14.0,3.8637033051562786,gradiente_conjugado,True,18,0.0041468143463134766,9.329423193534053e-07,True,11,0.050673484802246094,5.357702107302141e-07,True,9,0.0036683082580566406,3.8275380098879183e-07
generate_tridiagonal,16,0.8203125,1.0,1.5563025007672873,2.125,16,16.911534525287763,3.9318923987356125,jacobi,True,18,0.0067369937896728516,9.846118429826713e-07,True,12,0.10849666595458984,7.21607059779488e-07,True,11,0.008388280868530273,3.7091804043787466e-07
generate_laplacian_2d,36,0.8796296296296297,1.0,2.1583624920952498,4.666666666666667,36,49.23413450036468,7.20775094321934,jacobi,True,17,0.005055665969848633,5.066055217661343e-07,True,10,0.18700504302978516,4.676258444468446e-07,True,10,0.006027936935424805,2.8665525600647747e-07
generate_laplacian_2d,81,0.943758573388203,1.0,2.1583624920952498,4.444444444444445,81,73.97296803562772,7.608452130361233,gradiente_conjugado,True,16,0.004151582717895508,7.603702284343764e-07,True,11,0.1911325454711914,3.749617208845806e-07,True,10,0.0002422332763671875,7.87924612639907e-07
generate_laplacian_2d,25,0.832,1.0,2.1583624920952498,4.8,25,40.98780306383839,6.928203230275482,jacobi,True,14,0.00022268295288085938,8.778207812558724e-07,True,9,0.0010051727294921875,8.361797592578039e-07,True,9,0.00841212272644043,3.326239582011827e-07
