matrix_type,n,sparsity,symmetry,condition_number,diagonal_dominance,size,eig_spread,fro_norm,best_method,jacobi_success,jacobi_iterations,jacobi_time,jacobi_residual,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_residual,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_residual
generate_indefinite,24,0.0,0.9999999999999999,2.0000000000000027,-205.98553531452103,24,99.00000000000026,290.46858694185846,jacobi,False,1000,0.027397871017456055,,False,1000,10.327719688415527,,False,1000,0.0,inf
generate_clustered_eigenvalues,23,0.0,0.9999999999999999,2.04139268515822,-127.13646860669417,23,108.99999999999989,362.4874321959315,gradiente_conjugado,False,1000,0.030932903289794922,inf,True,564,5.713134288787842,9.870886755230424e-07,True,16,0.0027315616607666016,4.547526256563409e-08
generate_toeplitz,18,0.0,1.0,0.12869574436279554,8.352257902335195,18,3.534246126784236,46.873337989596216,jacobi,True,12,0.0005466938018798828,4.7549925737577843e-07,True,7,0.05604863166809082,4.135713172117813e-07,True,7,0.0012013912200927734,1.168329649972289e-07
generate_toeplitz,22,0.0,1.0,0.13128305729523831,8.273160258272902,22,3.6163922608632912,51.82437291385539,jacobi,True,11,0.0003314018249511719,7.32614696729523e-07,True,7,0.06557846069335938,8.768878045978065e-07,True,7,0.0007431507110595703,2.358284363675141e-07
generate_toeplitz,21,0.0,1.0,0.13074457478410273,8.290115664406192,21,3.5992539203469285,50.6320222240974,jacobi,True,12,0.0007908344268798828,9.188294654406864e-07,True,8,0.06756067276000977,9.791526442231499e-08,True,7,0.00099945068359375,1.2765762843465355e-07
generate_toeplitz,18,0.0,1.0,0.12869574436279554,8.352257902335195,18,3.534246126784236,46.873337989596216,jacobi,True,12,0.00033354759216308594,3.9236073832647866e-07,True,7,0.05064201354980469,3.5823372922484566e-07,True,7,0.0013988018035888672,8.665539347608358e-08
generate_toeplitz,39,0.0,1.0,0.1355914398803569,8.117919428553037,39,3.754311427596063,69.01125151703447,jacobi,True,13,0.0008575916290283203,2.859397909320424e-07,True,8,0.13474321365356445,4.046278518472032e-07,True,7,0.0015938282012939453,7.53123170305799e-07
generate_ill_conditioned,49,0.0,-0.3752694655645168,4.999999999999614,-1.1881297260825114,49,0.2643633155503081,1.620011255096719,jacobi,False,1000,0.031002283096313477,,False,1000,22.214250802993774,,False,1000,0.0,inf
generate_indefinite,36,0.0,0.9999999999999999,2.000000000000001,-257.55712042442144,36,98.99999999999974,353.0880576720037,jacobi,False,1000,0.02573537826538086,,False,1000,16.086870193481445,,False,1000,0.0,inf
generate_indefinite,36,0.0,0.9999999999999999,2.000000000000003,-268.43515588248374,36,98.99999999999999,353.08805767200374,jacobi,False,1000,0.036449432373046875,,False,1000,14.567094087600708,,False,1000,0.0,inf
generate_clustered_eigenvalues,26,0.0,0.9999999999999999,2.041392685158227,-147.1381346988947,26,108.99999999999987,378.76870782547195,gradiente_conjugado,False,1000,0.024369478225708008,inf,True,503,3.4461662769317627,9.877666647626294e-07,True,16,0.0001976490020751953,1.1204690572217187e-07
generate_laplacian_2d,21,0.9890940503185401,1.0,0.4712471061512236,4.190476190476191,441,7.918571535047416,172.9277305697383,gradiente_conjugado,True,24,0.025928974151611328,5.578294890205454e-07,True,15,0.44950151443481445,5.942112992635578e-07,True,15,0.014304161071777344,2.8347281745789334e-07
generate_indefinite,47,0.0,0.9999999999999999,2.0000000000000044,-304.1238385621242,47,98.9999999999999,402.0712271962898,jacobi,False,1000,0.026921510696411133,,False,1000,18.127979516983032,,False,1000,0.0,inf
generate_clustered_eigenvalues,39,0.0,0.9999999999999999,2.0413926851582245,-197.89317559774466,39,109.0000000000001,468.69168012513154,gradiente_conjugado,False,1000,0.04739069938659668,inf,True,579,5.216254472732544,9.951950664219754e-07,True,16,0.0002961158752441406,2.5926614889826957e-07
generate_clustered_eigenvalues,32,0.0,0.9999999999999999,2.041392685158221,-173.39221716670426,32,109.00000000000006,420.20086413788135,gradiente_conjugado,False,1000,0.027261018753051758,inf,True,563,3.084213972091675,9.730031729277138e-07,True,16,0.00027942657470703125,2.2607033926031662e-07
generate_band_matrix,10,0.56,1.0,1.22019750403522,0.6,10,5.638628626534006,13.92838827718412,jacobi,True,170,0.001783132553100586,9.358294344468542e-07,True,86,0.039078712463378906,9.379028984390758e-07,True,9,0.007196664810180664,5.17479640509479e-16
generate_band_matrix,18,0.7407407407407407,1.0,1.6825316143224827,0.3333333333333333,18,6.03835841880745,18.81488772222678,gradiente_conjugado,True,441,0.03786015510559082,9.739893930534989e-07,True,222,0.2678847312927246,9.478475460091201e-07,True,15,0.0001842975616455078,9.440348360873723e-07
generate_band_matrix,22,0.7851239669421488,1.0,1.844588054291538,0.2727272727272727,22,6.098584733898385,20.83266665599966,gradiente_conjugado,True,661,0.04585886001586914,9.948943427837323e-07,True,334,0.271808385848999,9.701354057409144e-07,True,18,0.0002486705780029297,8.016887284660182e-07
generate_band_matrix,41,0.8816180844735276,1.0,2.359770141668556,0.14634146341463414,41,6.202911986021506,28.53068523537421,gradiente_conjugado,False,1000,0.0524599552154541,0.0007016200337330735,False,1000,0.6423008441925049,1.136584963704696e-06,True,29,0.0008721351623535156,3.745371856246036e-07
generate_band_matrix,48,0.8984375,1.0,2.4922271797535602,0.125,48,6.215201687576386,30.886890422961002,gradiente_conjugado,False,1000,0.10989594459533691,0.019640738410975227,False,1000,0.7409765720367432,0.00012885756312703154,True,33,0.000377655029296875,7.936813484310446e-07
generate_laplacian_2d,31,0.9949313551072472,1.0,0.4743373846903228,4.129032258064516,961,7.9614778133775905,255.3898979991182,gradiente_conjugado,True,24,0.12825226783752441,9.60039772789471e-07,True,16,0.18241071701049805,3.8929022170903664e-07,True,15,0.04415631294250488,4.0880648188422925e-07
generate_laplacian_2d,30,0.9945925925925926,1.0,0.4741553494872784,4.133333333333334,900,7.958954587135145,247.14368290530916,gradiente_conjugado,True,25,0.09836935997009277,5.008005282723083e-07,True,16,0.19577670097351074,3.2202218055235245e-07,True,15,0.014744758605957031,4.2831498071422063e-07
generate_laplacian_2d,40,0.9969375,1.0,0.4754238376035658,4.1,1600,7.976526409469997,329.6058251912426,gradiente_conjugado,True,25,0.19647502899169922,6.292615153865008e-07,True,16,0.23157310485839844,4.827297763587394e-07,True,15,0.026545047760009766,5.855165943882117e-07
generate_laplacian_2d,48,0.9978660300925926,1.0,0.475932328780565,4.083333333333333,2304,7.983563142002739,395.5755300824357,gradiente_conjugado,True,25,0.2623927593231201,8.768134471999217e-07,True,16,0.2079167366027832,5.725675327269604e-07,True,15,0.040659189224243164,7.339958164650093e-07
